id,msg_sum,msg_avg,rec_sum,rec_avg,msg_word_count,rec_word_count
321,1.89,1.89,0,,1,0
322,25.7,2.3363636363636364,0,,11,0
321,53.820000000000014,2.446363636363637,0,,22,0
322,18.37,2.6242857142857146,0,,7,0
322,143.55000000000004,2.1750000000000007,0,,66,0
321,48.82,2.441,0,,20,0
322,46.56,2.217142857142857,0,,21,0
321,79.48000000000003,2.270857142857144,0,,35,0
322,69.76999999999998,2.325666666666666,0,,30,0
321,9.17,3.0566666666666666,0,,3,0
322,33.830000000000005,2.416428571428572,0,,14,0
321,38.60000000000001,2.0315789473684216,0,,19,0
322,30.880000000000003,2.5733333333333337,0,,12,0
321,15.72,1.965,0,,8,0
322,14.23,2.032857142857143,0,,7,0
321,17.19,2.865,0,,6,0
322,18.78,2.3475,0,,8,0
321,7.14,1.785,0,,4,0
361,20.15,2.8785714285714286,0,,7,0
362,21.14,3.02,0,,7,0
361,20.45,2.9214285714285713,0,,7,0
362,22.040000000000003,2.4488888888888893,0,,9,0
361,8.38,2.7933333333333334,0,,3,0
362,23.27,2.327,0,,10,0
361,11.57,3.856666666666667,0,,3,0
362,17.15,3.4299999999999997,0,,5,0
361,29.83,2.7118181818181815,0,,11,0
362,17.2,3.44,0,,5,0
361,12.37,2.4739999999999998,0,,5,0
362,7.58,1.895,0,,4,0
361,0,,0,,0,0
362,7.41,2.47,0,,3,0
361,17.2,2.15,16.83,2.8049999999999997,8,6
361,6.7700000000000005,2.256666666666667,0,,3,0
362,9.22,2.305,0,,4,0
361,3.21,1.605,0,,2,0
362,1.89,1.89,0,,1,0
361,4.38,2.19,0,,2,0
362,8.08,2.02,0,,4,0
361,3.78,1.89,0,,2,0
362,10.709999999999999,2.6774999999999998,0,,4,0
361,8.74,2.185,0,,4,0
362,9.96,2.49,0,,4,0
361,175.27000000000004,2.468591549295775,0,,71,0
362,68.67999999999999,2.8616666666666664,0,,24,0
361,18.52,2.057777777777778,0,,9,0
362,2.45,2.45,0,,1,0
361,9.68,1.936,0,,5,0
362,27.35,2.7350000000000003,0,,10,0
361,17.44,2.9066666666666667,0,,6,0
362,25.160000000000004,2.096666666666667,0,,12,0
361,76.02,2.452258064516129,0,,31,0
362,11.11,2.222,0,,5,0
361,9.16,1.832,0,,5,0
362,7.170000000000001,2.39,0,,3,0
361,62.879999999999995,2.6199999999999997,0,,24,0
362,37.519999999999996,2.501333333333333,0,,15,0
361,252.3900000000001,2.4744117647058834,0,,102,0
362,92.97000000000003,2.582500000000001,0,,36,0
361,59.59,2.5908695652173916,0,,23,0
362,16.29,3.258,0,,5,0
361,21.88,3.1257142857142854,0,,7,0
362,15.350000000000001,3.0700000000000003,0,,5,0
361,8.51,2.8366666666666664,0,,3,0
362,81.17999999999998,2.5368749999999993,0,,32,0
361,104.86,2.834054054054054,0,,37,0
362,14.0,2.8,0,,5,0
361,12.99,3.2475,0,,4,0
362,10.52,3.5066666666666664,0,,3,0
361,62.59000000000001,2.1582758620689657,0,,29,0
362,5.49,1.83,0,,3,0
361,40.410000000000004,2.245,0,,18,0
362,4.74,2.37,0,,2,0
361,12.479999999999999,2.0799999999999996,0,,6,0
362,10.180000000000001,2.0360000000000005,0,,5,0
361,18.45,3.0749999999999997,0,,6,0
362,1.89,1.89,0,,1,0
361,92.30000000000001,2.494594594594595,0,,37,0
362,19.259999999999998,2.7514285714285713,0,,7,0
361,22.240000000000002,2.224,0,,10,0
362,4.3100000000000005,2.1550000000000002,0,,2,0
361,45.760000000000005,2.5422222222222226,0,,18,0
362,12.579999999999998,3.1449999999999996,0,,4,0
361,100.62999999999998,2.7952777777777773,0,,36,0
362,12.14,4.046666666666667,0,,3,0
361,26.87,2.2391666666666667,0,,12,0
362,2.14,2.14,0,,1,0
361,166.32000000000005,2.640000000000001,0,,63,0
362,13.12,2.1866666666666665,0,,6,0
361,21.810000000000002,2.7262500000000003,0,,8,0
362,6.42,2.14,0,,3,0
361,5.539999999999999,1.8466666666666665,0,,3,0
362,23.51,2.351,0,,10,0
361,17.8,2.225,0,,8,0
362,1.52,1.52,0,,1,0
361,47.669999999999995,2.2699999999999996,0,,21,0
362,1.89,1.89,0,,1,0
361,7.24,2.4133333333333336,0,,3,0
362,19.25,2.40625,0,,8,0
361,14.93,2.4883333333333333,0,,6,0
362,5.37,1.79,0,,3,0
361,78.81,2.7175862068965517,0,,29,0
362,5.18,1.7266666666666666,0,,3,0
361,81.13000000000001,2.5353125000000003,0,,32,0
